V_Mean,I_RMS,V_pp,Class
15.48319452818619,0.615068130308893,0.499031359011269,1
15.955826521035448,0.700068655373189,0.503057657195602,2
14.985217880279952,0.477841123426347,0.506424001019591,0
15.99368263034921,0.701746310538484,0.489219106162944,2
15.490685942985728,0.591823780722777,0.4937517170217,1
16.018919049561607,0.699116175684907,0.451049986540554,2
15.009182182835033,0.522058204121542,0.517709370969548,0
15.964830186016833,0.707190731567973,0.449304194931647,2
15.494610763466007,0.583787106498582,0.483885346200633,1
14.992369382391134,0.492685853574089,0.519716578335801,0
14.989766485619535,0.487326661169755,0.426584137418717,0
15.511581739228689,0.603404141396386,0.553473460629226,1
15.48993106775234,0.603069411027916,0.564379223835224,2
15.548953290382544,0.605877735057528,0.420741007191236,1
15.520950351363409,0.598791649526194,0.477952739748871,1
15.500820895227532,0.618427571745732,0.628071298599588,1
15.024379940744563,0.506013130039278,0.540426988912931,0
15.467936082674868,0.609727139677783,0.498710233080082,1
15.977129508440067,0.716060558845167,0.477101239065546,2
15.523460285596832,0.614645716692973,0.488902799227873,1
15.9834626883856,0.704983545775047,0.452310518034125,1
15.012955473761137,0.493925731266976,0.520126698382014,0
15.46388396867329,0.609299233285302,0.64105595889912,1
15.996443243530276,0.71014325235335,0.489851042023341,2
15.50471676118775,0.61126834988999,0.564154866123,1
15.532906182429032,0.620344361930159,0.552558336224248,1
14.991230544859961,0.497267364621971,0.569352120322322,0
15.961102255439386,0.696788130759933,0.503389239283207,2
15.556122460353718,0.611504494139542,0.538445138703315,1
15.975925432153076,0.707138092254787,0.479520449065016,2
15.017725093939713,0.498923171668553,0.609206446849721,0
14.99183465548347,0.523824564743124,0.44458305971881,1
15.51818725510392,0.573528777841027,0.489651562965235,1
16.00064101282217,0.70598601193934,0.532647789992163,2
16.002469426293818,0.686203821681305,0.512928373160201,2
15.521285248419066,0.584210431101382,0.504372696206037,1
15.49507972192256,0.584791956408401,0.493185414706234,1
15.026341044915196,0.488607213334017,0.674781013566057,0
15.487565761671494,0.608574597137562,0.546997994095736,1
15.98604764907852,0.70176735826921,0.537378009793194,2
16.026922807407757,0.687190996169336,0.536715986755769,2
15.010101271420364,0.522634230814526,0.539601779705751,0
16.001260354032894,0.701781943669613,0.510843864929989,2
15.019156074376014,0.487517675362209,0.636985729085231,0
16.026271183393305,0.705054666873223,0.491577438263438,2
14.970783049059513,0.51371387377418,0.571356316797773,0
15.490502300836486,0.606664555873797,0.577304678725855,1
15.47851501972957,0.594356931404804,0.612420049836842,1
14.983972968336541,0.507908652126961,0.586479204004185,0
14.982836531171156,0.513960512661963,0.588783577676686,0
15.497175471922334,0.610733506117262,0.548390611078031,1
15.543252919230222,0.579843056081772,0.54517922171813,1
15.476000687021399,0.604384754498834,0.469243240414384,1
15.950765064471584,0.718480266231092,0.557721529605988,2
14.968428381156796,0.485245684985391,0.535897610863053,0
15.967195168219847,0.706297764436112,0.419919138575756,1
15.01823092373277,0.499001938736785,0.605753426624059,1
15.965424175332007,0.687238697604859,0.530450768010493,2
14.98955542468716,0.486828668212691,0.51011045398451,0
15.026001447269834,0.487773560515199,0.5174725961482,0
15.02395964549605,0.500619931722213,0.542599107851314,0
15.4772914687073,0.600370184004642,0.666231102354788,1
15.520930237168217,0.608685592997333,0.501707078108891,1
15.014878925635921,0.490181351801198,0.6450813001627,0
15.022836843300436,0.506451558835399,0.553550243629582,0
15.521198218833883,0.622388728271622,0.512259820937536,1
15.006720308910303,0.493776344030185,0.624510019767013,0
16.030365745859665,0.706919794959749,0.49570725373196,2
15.97369005202476,0.689609568796986,0.535914943726717,2
15.016172613081414,0.491786715174966,0.456971072958631,0
15.993202690049838,0.707109052088648,0.528709406023837,1
14.974901065697962,0.502487207952787,0.533813938536994,1
15.529369045005826,0.625392144681972,0.451284641672034,1
14.95781802300897,0.509974533238397,0.577935578145848,0
15.02389839555827,0.514202589230979,0.465943515831818,0
15.964897264819847,0.723283051521783,0.493493229370425,2
15.01894804624809,0.508226092865482,0.631673485831303,0
16.007961993467017,0.696330166440084,0.453479462225264,2
15.959215826847654,0.6883997186929,0.440142713450794,2
15.00123320414487,0.508669363822652,0.509909552798786,0
15.981375948312659,0.696239909087834,0.453433030709363,2
